pattern_name,side,st_3m,st_1h,st_4h,trend_align,is_consolidation,breakout,volume_spike,neckline_break,atr_ratio,rsi,close_vs_ema,label
descending_triangle,SELL,0,0,0,1,1,1,1,1,0.005,37.0,0,1
descending_triangle,SELL,0,0,0,1,1,1,0,1,0.004,40.0,0,1
descending_triangle,SELL,0,0,0,1,1,0,1,1,0.006,35.0,0,0
descending_triangle,SELL,1,0,0,0,1,1,1,1,0.005,42.0,0,1
descending_triangle,SELL,0,0,0,1,1,1,0,0,0.004,28.0,0,0
cup_handle,BUY,1,1,1,1,0,1,1,1,0.005,61.0,1,1
cup_handle,BUY,1,1,1,1,0,1,0,1,0.004,58.0,1,1
cup_handle,BUY,1,1,1,1,0,0,1,1,0.006,63.0,1,0
cup_handle,BUY,0,1,1,1,0,1,1,1,0.005,55.0,1,1
cup_handle,BUY,1,1,1,1,0,1,0,0,0.004,68.0,1,0
rising_wedge,SELL,0,0,0,0,0,1,1,0,0.006,78.0,1,1
rising_wedge,SELL,0,0,0,0,0,1,0,0,0.005,75.0,1,1
rising_wedge,SELL,1,1,1,1,0,1,1,0,0.004,70.0,1,0
rising_wedge,SELL,0,0,0,0,0,0,1,0,0.007,82.0,1,1
rising_wedge,SELL,0,0,1,0,0,1,0,0,0.005,65.0,1,0
falling_wedge,BUY,1,1,1,0,0,1,1,0,0.006,22.0,0,1
falling_wedge,BUY,1,1,1,0,0,1,0,0,0.005,25.0,0,1
falling_wedge,BUY,0,0,0,1,0,1,1,0,0.004,30.0,0,0
falling_wedge,BUY,1,1,1,0,0,0,1,0,0.007,18.0,0,1
falling_wedge,BUY,1,1,0,0,0,1,0,0,0.005,35.0,0,0
bull_pennant,BUY,1,1,1,1,1,1,1,0,0.005,64.0,1,1
bull_pennant,BUY,1,1,1,1,1,1,0,0,0.004,61.0,1,1
bull_pennant,BUY,1,1,1,1,1,0,1,0,0.006,58.0,1,0
bull_pennant,BUY,0,1,1,1,1,1,1,0,0.005,60.0,1,1
bull_pennant,BUY,1,1,1,1,1,1,1,0,0.004,78.0,1,0
bear_pennant,SELL,0,0,0,1,1,1,1,0,0.005,36.0,0,1
bear_pennant,SELL,0,0,0,1,1,1,0,0,0.004,39.0,0,1
bear_pennant,SELL,0,0,0,1,1,0,1,0,0.006,42.0,0,0
bear_pennant,SELL,1,0,0,1,1,1,1,0,0.005,40.0,0,1
bear_pennant,SELL,0,0,0,1,1,1,1,0,0.004,22.0,0,0
triple_bottom,BUY,1,1,1,1,0,1,1,1,0.006,53.0,1,1
triple_bottom,BUY,1,1,1,1,0,1,1,1,0.005,51.0,1,1
triple_bottom,BUY,1,1,1,1,0,0,0,1,0.004,49.0,1,0
triple_bottom,BUY,0,1,1,1,0,1,1,1,0.007,55.0,1,1
triple_bottom,BUY,1,1,1,1,0,1,0,0,0.005,50.0,1,0
triple_top,SELL,0,0,0,1,0,1,1,1,0.006,47.0,0,1
triple_top,SELL,0,0,0,1,0,1,1,1,0.005,49.0,0,1
triple_top,SELL,0,0,0,1,0,0,0,1,0.004,51.0,0,0
triple_top,SELL,1,0,0,1,0,1,1,1,0.007,45.0,0,1
triple_top,SELL,0,0,0,1,0,1,0,0,0.005,50.0,0,0
range_breakout,BUY,1,1,1,1,1,1,1,0,0.005,60.0,1,1
range_breakout,SELL,0,0,0,1,1,1,1,0,0.005,40.0,0,1
range_breakout,BUY,1,1,1,1,1,1,0,0,0.004,58.0,1,0
range_breakout,SELL,0,0,0,1,1,1,0,0,0.004,42.0,0,0
range_breakout,BUY,1,1,1,1,1,1,1,0,0.006,65.0,1,1
channel_up,SELL,0,0,0,0,0,1,1,0,0.005,72.0,1,1
channel_up,BUY,1,1,1,1,0,0,1,0,0.004,60.0,1,1
channel_down,BUY,1,1,1,0,0,1,1,0,0.005,28.0,0,1
channel_down,SELL,0,0,0,1,0,0,1,0,0.004,40.0,0,1
fakey,BUY,1,1,1,1,0,1,1,0,0.008,55.0,1,1
fakey,SELL,0,0,0,1,0,1,1,0,0.008,45.0,0,1
m_top,SELL,0,0,0,1,0,1,1,1,0.005,50.0,0,1
w_bottom,BUY,1,1,1,1,0,1,1,1,0.005,50.0,1,1
scallop,BUY,1,1,1,1,0,1,0,0,0.004,55.0,1,1
dead_cat_bounce,SELL,0,0,0,0,0,1,1,0,0.012,35.0,0,1
triple_top,SELL,0,0,0,1,0,1,1,1,0.007,45.0,0,1
triple_top,SELL,1,0,0,1,0,0,1,1,0.006,52.0,1,0
broadening_wedge,BUY,1,1,1,0,0,1,1,0,0.009,35.0,0,1
broadening_wedge,SELL,0,0,0,0,0,1,1,0,0.009,65.0,1,1
diamond_top,SELL,0,0,0,1,1,1,1,1,0.005,50.0,0,1
diamond_bottom,BUY,1,1,1,1,1,1,1,1,0.005,50.0,1,1
morning_star,BUY,1,1,1,1,0,1,1,0,0.004,30.0,1,1
evening_star,SELL,0,0,0,1,0,1,1,0,0.004,70.0,0,1
bullish_engulfing,BUY,1,1,1,1,0,1,1,0,0.003,45.0,1,1
bearish_engulfing,SELL,0,0,0,1,0,1,1,0,0.003,55.0,0,1
three_white_soldiers,BUY,1,1,1,1,0,1,1,0,0.006,65.0,1,1
three_black_crows,SELL,0,0,0,1,0,1,1,0,0.006,35.0,0,1
harami_bullish,BUY,1,1,0,1,1,0,0,0,0.002,40.0,1,0
harami_bearish,SELL,0,0,1,1,1,0,0,0,0.002,60.0,0,0
tweezer_bottom,BUY,1,0,0,1,0,0,1,0,0.005,25.0,0,1
tweezer_top,SELL,0,1,1,1,0,0,1,0,0.005,75.0,1,1
bull_flag,BUY,1,1,1,1,0,1,1,0,0.004,58.0,1,1
bull_flag,BUY,0,1,1,1,0,1,1,0,0.005,65.0,1,1
bull_flag,BUY,1,1,1,1,1,1,1,0,0.004,60.0,1,1
bull_flag,BUY,1,1,1,0,0,1,0,0,0.006,72.0,1,0
bull_flag,BUY,1,1,1,1,0,0,1,0,0.005,55.0,1,1
bull_flag,BUY,0,0,1,1,0,1,1,0,0.004,50.0,1,0
bear_flag,SELL,0,0,0,1,1,1,1,0,0.004,32.0,0,1
bear_flag,SELL,0,0,0,1,0,1,0,0,0.005,45.0,0,0
head_shoulders,SELL,0,0,0,0,0,1,1,1,0.006,30.0,0,1
head_shoulders,SELL,0,0,0,1,1,1,1,1,0.005,44.0,0,1
head_shoulders,SELL,1,1,0,1,0,1,0,1,0.004,52.0,0,0
inv_head_shoulders,BUY,1,1,1,1,1,1,1,1,0.005,62.0,1,1
inv_head_shoulders,BUY,0,0,1,1,0,1,1,1,0.006,48.0,1,1
inv_head_shoulders,BUY,1,1,1,0,0,1,0,0,0.005,60.0,1,0
double_bottom,BUY,1,1,1,1,1,1,1,1,0.005,51.0,1,1
double_bottom,BUY,1,1,1,1,0,1,0,1,0.006,54.0,1,1
double_bottom,BUY,0,0,0,1,0,1,1,1,0.005,45.0,1,1
double_top,SELL,0,0,0,1,1,1,1,1,0.006,42.0,0,1
double_top,SELL,0,0,0,1,0,1,0,1,0.005,47.0,0,1
double_top,SELL,1,1,0,1,0,1,1,1,0.004,55.0,0,0
ascending_triangle,BUY,1,1,1,1,1,1,1,1,0.004,66.0,1,1
ascending_triangle,BUY,1,1,1,1,1,0,0,1,0.005,55.0,1,0
descending_triangle,SELL,0,0,0,1,1,1,1,1,0.004,33.0,0,1
descending_triangle,SELL,0,0,0,1,1,0,0,1,0.005,45.0,0,0
rising_wedge,SELL,0,0,0,0,0,1,1,0,0.006,77.0,1,1
rising_wedge,SELL,0,1,1,1,0,1,0,0,0.005,68.0,1,0
falling_wedge,BUY,1,1,1,0,0,1,1,0,0.006,24.0,0,1
falling_wedge,BUY,1,0,0,1,0,1,0,0,0.005,35.0,0,0
bull_pennant,BUY,1,1,1,1,1,1,1,0,0.004,66.0,1,1
bull_pennant,BUY,1,1,0,1,1,0,1,0,0.005,59.0,1,0
bear_pennant,SELL,0,0,0,1,1,1,1,0,0.004,35.0,0,1
bear_pennant,SELL,0,1,1,1,1,0,0,0,0.005,44.0,0,0
triple_bottom,BUY,1,1,1,1,0,1,1,1,0.007,52.0,1,1
triple_top,SELL,0,0,0,1,0,1,1,1,0.007,46.0,0,1
range_breakout,SELL,0,0,0,1,1,1,1,0,0.006,35.0,0,1
m_top,SELL,0,0,0,1,0,1,0,1,0.004,55.0,0,0
w_bottom,BUY,1,1,1,1,0,1,0,1,0.004,45.0,1,0
fakey_buy,BUY,1,1,1,1,0,1,1,0,0.008,55.0,1,1
fakey_sell,SELL,0,0,0,1,0,1,1,0,0.008,45.0,0,1
scallop_buy,BUY,1,1,1,1,0,1,0,0,0.004,55.0,1,1
channel_up_break,SELL,0,0,0,0,0,1,1,0,0.005,72.0,1,1
channel_down_break,BUY,1,1,1,0,0,1,1,0,0.005,28.0,0,1
exhaustion_gap,SELL,0,0,0,1,0,1,1,0,0.015,80.0,1,1
island_reversal,SELL,0,0,0,0,0,1,1,0,0.009,70.0,0,1
rectangle_bottom,BUY,1,1,1,1,1,1,1,1,0.004,52.0,1,1
rectangle_top,SELL,0,0,0,1,1,1,1,1,0.004,48.0,0,1
pennant_fail,BUY,1,1,1,1,1,1,0,0,0.005,65.0,1,0
wedge_fail,SELL,0,0,0,1,0,1,0,0,0.006,35.0,0,0
flag_fail,BUY,1,1,1,0,0,1,0,0,0.004,70.0,1,0
marubozu_bull,BUY,1,1,1,1,0,1,1,0,0.007,65.0,1,1
marubozu_bear,SELL,0,0,0,1,0,1,1,0,0.007,35.0,0,1
tweezer_bottom,BUY,1,1,0,1,0,0,1,0,0.005,28.0,0,1
tweezer_top,SELL,0,0,1,1,0,0,1,0,0.005,72.0,1,1
inside_bar_bull,BUY,1,1,1,1,1,0,0,0,0.003,52.0,1,1
inside_bar_bear,SELL,0,0,0,1,1,0,0,0,0.003,48.0,0,1
piercing_line,BUY,1,1,1,1,0,1,1,0,0.004,40.0,1,1
dark_cloud_cover,SELL,0,0,0,1,0,1,1,0,0.004,60.0,0,1
three_white_soldiers,BUY,1,1,1,1,0,1,1,0,0.006,68.0,1,1
three_black_crows,SELL,0,0,0,1,0,1,1,0,0.006,32.0,0,1
doji_star_bull,BUY,1,1,1,1,0,1,1,0,0.002,30.0,0,1
doji_star_bear,SELL,0,0,0,1,0,1,1,0,0.002,70.0,1,1
broadening_top,SELL,0,0,0,1,0,1,1,0,0.008,65.0,1,1
broadening_bottom,BUY,1,1,1,1,0,1,1,0,0.008,35.0,0,1
shaven_head,SELL,0,0,0,1,0,1,0,0,0.005,60.0,1,1
shaven_bottom,BUY,1,1,1,1,0,1,0,0,0.005,40.0,0,1
gap_fill_buy,BUY,1,1,1,0,0,1,1,0,0.01,45.0,0,1
gap_fill_sell,SELL,0,0,0,0,0,1,1,0,0.01,55.0,1,1
pinbar_rejection_buy,BUY,1,1,1,1,0,0,1,0,0.006,42.0,0,1
pinbar_rejection_sell,SELL,0,0,0,1,0,0,1,0,0.006,58.0,1,1
oversold_rebound,BUY,1,0,0,0,0,1,1,0,0.008,18.0,0,1
overbought_correction,SELL,0,1,1,0,0,1,1,0,0.008,82.0,1,1
trend_exhaustion_buy,BUY,1,1,1,1,0,1,0,0,0.005,78.0,1,0
trend_exhaustion_sell,SELL,0,0,0,1,0,1,0,0,0.005,22.0,0,0
bull_trap,BUY,1,1,1,1,0,1,1,0,0.004,65.0,1,0
bear_trap,SELL,0,0,0,1,0,1,1,0,0.004,35.0,0,0
golden_cross_buy,BUY,1,1,1,1,0,1,1,0,0.005,55.0,1,1
death_cross_sell,SELL,0,0,0,1,0,1,1,0,0.005,45.0,0,1
v_reversal_buy,BUY,1,1,1,0,0,1,1,0,0.012,25.0,0,1
v_reversal_sell,SELL,0,0,0,0,0,1,1,0,0.012,75.0,1,1
sideways_fakeout_up,BUY,1,1,1,1,1,1,0,0,0.003,62.0,1,0
sideways_fakeout_down,SELL,0,0,0,1,1,1,0,0,0.003,38.0,0,0
triple_screen_buy,BUY,1,1,1,1,0,1,1,0,0.004,50.0,1,1
triple_screen_sell,SELL,0,0,0,1,0,1,1,0,0.004,50.0,0,1
ema_bounce_buy,BUY,1,1,1,1,0,0,1,0,0.003,55.0,1,1
ema_bounce_sell,SELL,0,0,0,1,0,0,1,0,0.003,45.0,0,1
bollinger_squeeze_up,BUY,1,1,1,1,1,1,1,0,0.002,58.0,1,1
bollinger_squeeze_down,SELL,0,0,0,1,1,1,1,0,0.002,42.0,0,1
exhaustion_candle_buy,BUY,1,1,1,0,0,1,1,0,0.01,20.0,0,1
exhaustion_candle_sell,SELL,0,0,0,0,0,1,1,0,0.01,80.0,1,1
squeeze_fail_buy,BUY,1,1,1,1,1,1,0,0,0.003,60.0,1,0
squeeze_fail_sell,SELL,0,0,0,1,1,1,0,0,0.003,40.0,0,0
rounding_bottom,BUY,1,1,1,1,0,1,1,1,0.005,52.0,1,1
rounding_top,SELL,0,0,0,1,0,1,1,1,0.005,48.0,0,1
break_retest_buy,BUY,1,1,1,1,0,1,1,0,0.004,58.0,1,1
break_retest_sell,SELL,0,0,0,1,0,1,1,0,0.004,42.0,0,1
divergence_rsi_buy,BUY,1,1,1,0,0,1,1,0,0.006,35.0,0,1
divergence_rsi_sell,SELL,0,0,0,1,0,1,1,0,0.006,65.0,1,1
hidden_divergence_buy,BUY,1,1,1,1,0,1,1,0,0.005,45.0,1,1
hidden_divergence_sell,SELL,0,0,0,1,0,1,1,0,0.005,55.0,0,1
bump_run_reversal,SELL,0,0,0,0,0,1,1,0,0.015,75.0,1,1
inverted_v_top,SELL,0,0,0,0,0,1,1,0,0.01,80.0,1,1
failed_head_shoulders,BUY,1,1,1,1,0,1,0,1,0.005,55.0,1,1
failed_inv_head_shoulders,SELL,0,0,0,1,0,1,0,1,0.005,45.0,0,1
swing_failure_high,SELL,0,0,0,1,0,1,1,0,0.007,72.0,1,1
swing_failure_low,BUY,1,1,1,1,0,1,1,0,0.007,28.0,0,1
diamond_top_reversal,SELL,0,0,0,1,1,1,1,1,0.006,60.0,0,1
diamond_bottom_reversal,BUY,1,1,1,1,1,1,1,1,0.006,40.0,1,1
cup_without_handle,BUY,1,1,1,1,0,1,1,0,0.006,65.0,1,1
rising_three_methods,BUY,1,1,1,1,0,1,1,0,0.004,55.0,1,1
falling_three_methods,SELL,0,0,0,1,0,1,1,0,0.004,45.0,0,1
delphic_phenomenon_buy,BUY,1,1,1,1,0,1,1,0,0.005,50.0,1,1
delphic_phenomenon_sell,SELL,0,0,0,1,0,1,1,0,0.005,50.0,0,1
stochastic_pop_buy,BUY,1,1,1,1,0,1,1,0,0.004,82.0,1,1
stochastic_drop_sell,SELL,0,0,0,1,0,1,1,0,0.004,18.0,0,1
trend_line_break_buy,BUY,1,1,1,1,0,1,1,0,0.005,45.0,1,1
trend_line_break_sell,SELL,0,0,0,1,0,1,1,0,0.005,55.0,0,1
channel_bounce_buy,BUY,1,1,1,1,0,0,1,0,0.004,40.0,1,1
channel_bounce_sell,SELL,0,0,0,1,0,0,1,0,0.004,60.0,0,1
support_bounce_buy,BUY,1,1,1,1,0,0,1,0,0.003,35.0,0,1
resistance_rejection_sell,SELL,0,0,0,1,0,0,1,0,0.003,65.0,1,1
triple_tap_buy,BUY,1,1,1,1,0,1,1,0,0.005,30.0,0,1
triple_tap_sell,SELL,0,0,0,1,0,1,1,0,0.005,70.0,1,1
power_candle_buy,BUY,1,1,1,1,0,1,1,0,0.008,55.0,1,1
power_candle_sell,SELL,0,0,0,1,0,1,1,0,0.008,45.0,0,1
squeeze_break_buy,BUY,1,1,1,1,1,1,1,0,0.003,62.0,1,1
squeeze_break_sell,SELL,0,0,0,1,1,1,1,0,0.003,38.0,0,1
high_tight_flag,BUY,1,1,1,1,0,1,1,0,0.012,68.0,1,1
high_tight_flag,BUY,1,1,1,1,1,1,1,0,0.01,70.0,1,1
high_tight_flag,BUY,0,1,1,1,0,1,0,0,0.008,75.0,1,0
vcp_breakout,BUY,1,1,1,1,1,1,1,1,0.004,58.0,1,1
vcp_breakout,BUY,1,1,1,1,1,1,1,1,0.003,55.0,1,1
vcp_breakout,BUY,1,1,1,1,1,0,0,1,0.005,62.0,1,0
wyckoff_spring,BUY,1,0,1,0,1,1,1,0,0.007,28.0,0,1
wyckoff_spring,BUY,1,1,1,1,1,1,1,0,0.006,35.0,1,1
wyckoff_upthrust,SELL,0,1,0,0,1,1,1,0,0.007,72.0,1,1
wyckoff_upthrust,SELL,0,0,0,1,1,1,1,0,0.006,65.0,0,1
institutional_orderblock_buy,BUY,1,1,1,1,0,0,1,0,0.004,45.0,1,1
institutional_orderblock_buy,BUY,1,1,1,1,0,1,1,0,0.005,48.0,1,1
institutional_orderblock_sell,SELL,0,0,0,1,0,0,1,0,0.004,55.0,0,1
institutional_orderblock_sell,SELL,0,0,0,1,0,1,1,0,0.005,52.0,0,1
fair_value_gap_fill_buy,BUY,1,1,1,1,0,1,1,0,0.009,40.0,1,1
fair_value_gap_fill_sell,SELL,0,0,0,1,0,1,1,0,0.009,60.0,0,1
three_drive_bullish,BUY,1,1,1,0,0,1,1,0,0.006,25.0,0,1
three_drive_bearish,SELL,0,0,0,0,0,1,1,0,0.006,75.0,1,1
super_trend_bounce_buy,BUY,1,1,1,1,0,0,1,0,0.003,52.0,1,1
super_trend_bounce_sell,SELL,0,0,0,1,0,0,1,0,0.003,48.0,0,1
mega_phone_bottom,BUY,1,1,1,0,0,1,1,0,0.015,30.0,0,1
mega_phone_top,SELL,0,0,0,0,0,1,1,0,0.015,70.0,1,1
liquidity_sweep_low,BUY,1,1,1,1,0,1,1,0,0.008,32.0,0,1
liquidity_sweep_high,SELL,0,0,0,1,0,1,1,0,0.008,68.0,1,1
bull_divergence_hidden,BUY,1,1,1,1,0,0,1,0,0.004,42.0,1,1
bear_divergence_hidden,SELL,0,0,0,1,0,0,1,0,0.004,58.0,0,1
volume_climax_buy,BUY,1,0,0,0,0,1,1,0,0.02,15.0,0,1
volume_climax_sell,SELL,0,1,1,0,0,1,1,0,0.02,85.0,1,1
rejection_wick_buy,BUY,1,1,1,1,0,0,1,0,0.006,38.0,0,1
rejection_wick_sell,SELL,0,0,0,1,0,0,1,0,0.006,62.0,1,1
squeeze_momentum_up,BUY,1,1,1,1,1,1,1,0,0.002,55.0,1,1
squeeze_momentum_down,SELL,0,0,0,1,1,1,1,0,0.002,45.0,0,1
morning_doji_star,BUY,1,1,1,1,0,1,1,0,0.005,32.0,0,1
evening_doji_star,SELL,0,0,0,1,0,1,1,0,0.005,68.0,1,1
trend_continuation_buy,BUY,1,1,1,1,0,1,0,0,0.004,56.0,1,1
trend_continuation_sell,SELL,0,0,0,1,0,1,0,0,0.004,44.0,0,1
consolidation_break_strong,BUY,1,1,1,1,1,1,1,0,0.003,60.0,1,1
consolidation_break_strong,SELL,0,0,0,1,1,1,1,0,0.003,40.0,0,1
double_inside_bar_break_up,BUY,1,1,1,1,1,1,1,0,0.002,54.0,1,1
double_inside_bar_break_down,SELL,0,0,0,1,1,1,1,0,0.002,46.0,0,1
bullish_marubozu_trend,BUY,1,1,1,1,0,1,1,0,0.007,65.0,1,1
bearish_marubozu_trend,SELL,0,0,0,1,0,1,1,0,0.007,35.0,0,1
breakout_retest_perfect_buy,BUY,1,1,1,1,0,1,1,0,0.005,58.0,1,1
breakout_retest_perfect_sell,SELL,0,0,0,1,0,1,1,0,0.005,42.0,0,1
ema_200_bounce_buy,BUY,1,1,1,1,0,0,1,0,0.004,48.0,1,1
ema_200_bounce_sell,SELL,0,0,0,1,0,0,1,0,0.004,52.0,0,1
fake_breakout_trap_buy,BUY,1,1,1,1,0,1,1,0,0.006,45.0,0,1
fake_breakout_trap_sell,SELL,0,0,0,1,0,1,1,0,0.006,55.0,1,1
m_pattern_failure,BUY,1,1,1,1,0,1,1,1,0.005,52.0,1,1
w_pattern_failure,SELL,0,0,0,1,0,1,1,1,0.005,48.0,0,1
parabolic_run_buy,BUY,1,1,1,1,0,1,1,0,0.015,82.0,1,0
parabolic_crash_sell,SELL,0,0,0,1,0,1,1,0,0.015,18.0,0,0
failed_signal_reversal_buy,BUY,1,1,1,0,0,1,0,0,0.004,30.0,0,1
failed_signal_reversal_sell,SELL,0,0,0,0,0,1,0,0,0.004,70.0,1,1
double_top,SELL,0,0,0,1,0,1,1,1,0.006,48.0,0,0
triple_bottom,BUY,0,1,1,1,0,1,1,1,0.007,55.0,1,0
institutional_orderblock_buy,BUY,1,1,1,1,0,1,1,0,0.005,48.0,1,0
v_reversal_buy,BUY,1,1,1,0,0,1,1,0,0.012,25.0,0,0
high_tight_flag,BUY,1,1,1,1,0,1,1,0,0.012,68.0,1,0
inv_head_shoulders,BUY,1,1,1,1,0,1,1,1,0.005,55.0,1,0
sym_triangle,BUY,1,1,1,1,1,1,1,0,0.006,62.0,1,0
bull_flag,BUY,0,1,1,1,0,1,1,0,0.005,65.0,1,0
exhaustion_candle_buy,BUY,1,1,1,0,0,1,1,0,0.01,20.0,0,0
dark_cloud_cover,SELL,0,0,0,1,0,1,1,0,0.004,60.0,0,0
piercing_line,BUY,1,1,1,1,0,1,1,0,0.004,40.0,1,0
mega_phone_bottom,BUY,1,1,1,0,0,1,1,0,0.015,30.0,0,0
bull_flag,BUY,1,1,1,1,1,1,1,0,0.004,60.0,1,0
double_inside_bar_break_up,BUY,1,1,1,1,1,1,1,0,0.002,54.0,1,0
triple_top,SELL,1,0,0,1,0,1,1,1,0.007,45.0,0,0
double_bottom,BUY,1,1,1,1,0,1,1,1,0.006,52.0,1,0
fakey,BUY,1,1,1,1,0,1,1,0,0.008,55.0,1,0
falling_wedge,BUY,1,1,1,0,0,1,1,0,0.006,22.0,0,0
bull_pennant,BUY,1,1,1,1,1,1,1,0,0.004,66.0,1,0
triple_top,SELL,0,0,0,1,0,1,1,1,0.007,45.0,0,0
liquidity_sweep_low,BUY,1,1,1,1,0,1,1,0,0.008,32.0,0,0
divergence_rsi_sell,SELL,0,0,0,1,0,1,1,0,0.006,65.0,1,0
squeeze_break_buy,BUY,1,1,1,1,1,1,1,0,0.003,62.0,1,0
descending_triangle,SELL,0,0,0,1,1,1,1,1,0.005,37.0,0,0
bull_flag,BUY,0,1,1,1,0,1,1,0,0.005,68.0,1,0
hidden_divergence_sell,SELL,0,0,0,1,0,1,1,0,0.005,55.0,0,0
diamond_bottom,BUY,1,1,1,1,1,1,1,1,0.005,50.0,1,0
double_bottom,BUY,1,1,1,1,0,1,1,1,0.007,58.0,1,0
squeeze_momentum_down,SELL,0,0,0,1,1,1,1,0,0.002,45.0,0,0
triple_screen_buy,BUY,1,1,1,1,0,1,1,0,0.004,50.0,1,0
double_bottom,BUY,1,1,1,1,1,1,1,1,0.005,51.0,1,0
dead_cat_bounce,SELL,0,0,0,0,0,1,1,0,0.012,35.0,0,0
rounding_bottom,BUY,1,1,1,1,0,1,1,1,0.005,52.0,1,0
falling_three_methods,SELL,0,0,0,1,0,1,1,0,0.004,45.0,0,0
three_black_crows,SELL,0,0,0,1,0,1,1,0,0.006,35.0,0,0
ascending_triangle,BUY,0,1,1,0,1,1,1,1,0.005,58.0,1,0
double_inside_bar_break_down,SELL,0,0,0,1,1,1,1,0,0.002,46.0,0,0
three_white_soldiers,BUY,1,1,1,1,0,1,1,0,0.006,65.0,1,0
bull_flag,BUY,1,1,1,1,0,1,1,0,0.004,58.0,1,0
